,name,address,age,sex,date_of_birth
0,Terry Terry,"11818 Lori Crossing Apt. 802
Pughstad, DC 78165",64.0,M,1954-05-30 00:00:00
1,Edith Boudreaux,"PSC 4657, Box 5446
APO AP 58412",37.0,F,1981-07-23 00:00:00
2,Janet Washington,"Unit 9759 Box 9470
DPO AP 45549",69.0,F,1949-02-16 00 00 00
3,Margaret Chabot,"137 Lewis Flat Suite 762
West Elizabeth, AL 32973",78.0,F,1939-12-09
4,Colleen Satterwhite,"995 Frank Stravenue
South Matthewport, TX 81402",34.0,F,1984-02-15
5,Judy Smith,"1781 Meredith Skyway Suite 328
Cordovaburgh, CA 13637",70.0,F,1948-10-18
6,Stephen Lalk,"2415 Elizabeth Knoll Suite 030
Cordovafort, CO 02589",35.0,M,1983-03-22
7,Abraham Bruce,"49824 Kim View
West Ericborough, VT 42457",73.0,M,1945-07-27
8,Anna Swartz,"53231 Matthew Spur Apt. 079
North Brian, MA 30418",46.0,F,09/02/1972
9,James Wilson,"USNV Gallegos
FPO AA 99743",74.0,M,1944-02-19
10,Patricia Kealy,"655 Karen Causeway
Benjaminberg, NY 46590",59.0,F,59-02-03
11,Morgan Toole,"9197 Juarez Lock
New Matthew, VA 12312",45.0,F,1973-04-16
12,Roy Wilson,"9892 Stephen Track Suite 831
Sharonstad, TN 16192",35.0,M,14/05/1983
13,Betty Kannel,"62673 Jeanette Track Apt. 852
Mckenzieberg, WY 57271",67.0,F,1950-11-10
14,Patricia Wasilewski,"85154 Young Mill
Aaronville, IA 31780",55.0,F,10/02/1963
15,Lori Scott,"509 Antonio Haven Suite 117
West Ricky, OK 35203",26.0,F,1992-09-30 00 00 00
16,Carl Young,"024 Jordan Plains Suite 643
Andreamouth, WI 58957",63.0,?,10/08/1955
17,Karen Boyles,"31259 Porter Gateway Suite 886
East Sarahfort, MS 21557",28.0,F,1990-02-05
18,Ronald Speigel,"USNV Robinson
FPO AA 16102",56.0,M,1962-04-27 00 00 00
19,Michael Guzman,"6135 Keith Route Apt. 868
Abigailchester, OK 63422",73.0,M,1944-12-09
20,Elizabeth Davis,"30989 Robert Stream Apt. 520
Jorgehaven, MS 99923",32.0,F,86-06-07
21,Debra White,"6934 Victor Turnpike Apt. 644
Lake Paulamouth, NE 75992",86.0,F,1931-12-20
22,Spencer Castano,"83150 James Isle Suite 616
Lake Christinaton, SC 16583",31.0,M,04/08/1987
23,Kelly Webb,"2397 Powell Skyway Apt. 944
New Brianport, PA 58357",22.0,F,1996-01-17
24,Hoyt Martinez,"58132 Emily Club Apt. 346
Emmaborough, LA 16007",47.0,M,1971-07-24
25,Sandra Cherry,"4017 Marcus Brook
West Amber, NY 39009",6600.0,F,1952-10-07
